date,daily_case_count,daily_death_count
2020-03-18,0,0
2020-03-19,0,155
2020-03-20,0,83
2020-03-21,0,115
2020-03-22,0,124
2020-03-23,0,189
2020-03-24,0,244
2020-03-25,0,293
2020-03-26,0,318
2020-03-27,0,307
2020-03-28,4611,326
2020-03-29,2599,295
2020-03-30,4376,423
2020-03-31,7578,526
2020-04-01,4861,516
2020-04-02,2116,524
2020-04-03,5233,606
2020-04-04,4267,448
2020-04-05,1873,361
2020-04-06,3912,613
2020-04-07,3777,607
2020-04-08,3881,562
2020-04-09,4286,424
2020-04-10,4342,578
2020-04-11,3114,353
2020-04-12,1613,315
2020-04-13,2673,343
2020-04-14,5497,559
2020-04-15,2633,524
2020-04-16,2641,435
2020-04-17,405,428
2020-04-18,2569,368
2020-04-19,785,231
2020-04-20,2051,450
2020-04-21,2667,404
2020-04-22,1827,349
2020-04-23,1653,320
2020-04-24,1773,312
2020-04-25,1537,207
2020-04-26,461,152
2020-04-27,1195,300
2020-04-28,1520,328
2020-04-29,1152,251
2020-04-30,1139,207
2020-05-01,604,138
2020-05-02,794,120
2020-05-03,308,101
2020-05-04,576,245
2020-05-05,1104,244
2020-05-06,4183,181
2020-05-07,629,159
2020-05-08,642,118
2020-05-09,433,77
2020-05-10,209,70
2020-05-11,456,184
2020-05-12,708,194
2020-05-13,507,105
2020-05-14,622,126
2020-05-15,563,120
2020-05-16,372,78
2020-05-17,120,54
2020-05-18,492,123
2020-05-19,524,140
2020-05-20,418,102
2020-05-21,318,58
2020-05-22,393,75
2020-05-23,250,47
2020-05-24,115,36
2020-05-25,358,93
2020-05-26,276,92
2020-05-27,191,67
2020-05-28,3325,69
2020-05-29,597,63
2020-05-30,1828,57
2020-05-31,257,35
2020-06-01,338,31
2020-06-02,-766,85
2020-06-03,352,85
2020-06-04,767,46
2020-06-05,611,47
2020-06-06,579,35
2020-06-07,343,13
2020-06-08,211,55
2020-06-09,403,53
2020-06-10,545,34
2020-06-11,425,28
2020-06-12,726,33
2020-06-13,526,24
2020-06-14,407,9
2020-06-15,152,30
2020-06-16,344,42
2020-06-17,458,30
2020-06-18,467,29
2020-06-19,811,14
2020-06-20,641,19
2020-06-21,284,7
2020-06-22,373,23
2020-06-23,517,26
2020-06-24,81,13
2020-06-25,0,21
