date,daily_case_count,daily_death_count
2020-06-26,1588,26
2020-06-27,0,15
2020-06-28,0,2
2020-06-29,1324,18
2020-06-30,541,21
2020-07-01,918,19
2020-07-02,659,16
2020-07-03,582,18
2020-07-04,751,13
2020-07-05,448,2
2020-07-06,176,13
2020-07-07,475,35
2020-07-08,663,34
2020-07-09,621,15
2020-07-10,658,25
2020-07-11,752,6
2020-07-12,585,1
2020-07-13,288,18
2020-07-14,511,6
2020-07-15,416,20
2020-07-16,534,18
2020-07-17,836,14
2020-07-18,965,8
2020-07-19,765,1
2020-07-20,350,16
2020-07-21,584,13
2020-07-22,998,7
2020-07-23,1062,14
2020-07-24,1130,13
2020-07-25,1108,8
2020-07-26,929,1
2020-07-27,514,9
2020-07-28,725,15
2020-07-29,1392,15
2020-07-30,1377,16
2020-07-31,1346,11
2020-08-01,1628,6
2020-08-02,1192,1
2020-08-03,556,22
2020-08-04,1039,11
2020-08-05,1695,9
2020-08-06,1604,7
2020-08-07,2288,12
2020-08-08,2184,2
2020-08-09,1885,0
2020-08-10,785,14
2020-08-11,1397,15
2020-08-12,2524,18
2020-08-13,2669,17
2020-08-14,2846,19
2020-08-15,3310,4
2020-08-16,3015,1
2020-08-17,493,19
2020-08-18,2238,17
2020-08-19,3776,17
2020-08-20,4771,12
2020-08-21,4586,23
2020-08-22,3602,12
2020-08-23,4897,1
2020-08-24,1955,15
2020-08-25,3304,22
2020-08-26,5429,19
2020-08-27,6111,15
2020-08-28,7379,19
2020-08-29,5453,6
2020-08-30,5413,4
2020-08-31,3082,29
2020-09-01,4982,19
2020-09-02,7017,26
2020-09-03,7157,21
2020-09-04,8975,19
2020-09-05,8550,12
2020-09-06,7071,3
2020-09-07,4203,25
2020-09-08,6544,39
2020-09-09,8577,30
2020-09-10,9843,19
2020-09-11,9406,40
2020-09-12,10561,17
2020-09-13,7183,6
2020-09-14,6158,34
2020-09-15,7852,37
2020-09-16,9784,46
2020-09-17,10593,50
2020-09-18,13215,123
2020-09-19,13498,26
2020-09-20,10569,12
2020-09-21,5298,53
2020-09-22,10008,68
2020-09-23,13072,43
2020-09-24,16096,53
2020-09-25,15797,56
2020-09-26,14412,41
2020-09-27,11123,27
2020-09-28,4070,81
2020-09-29,8051,59
2020-09-30,12845,64
2020-10-01,13970,63
2020-10-02,12148,48
2020-10-03,16972,49
2020-10-04,12565,32
2020-10-05,5084,70
2020-10-06,10489,65
2020-10-07,18746,80
2020-10-08,18129,77
2020-10-09,20339,62
2020-10-10,26896,54
2020-10-11,16101,46
2020-10-12,8505,96
2020-10-13,12993,87
2020-10-14,22591,104
2020-10-15,30621,88
2020-10-16,25086,122
2020-10-17,32427,90
2020-10-18,29837,85
2020-10-19,13243,146
2020-10-20,20468,163
2020-10-21,26676,166
2020-10-22,41622,165
2020-10-23,42032,184
2020-10-24,45422,138
2020-10-25,52010,116
2020-10-26,26771,258
2020-10-27,33417,292
2020-10-28,36437,244
2020-10-29,47637,250
2020-10-30,49215,256
2020-10-31,35641,224
2020-11-01,46290,231
2020-11-02,52518,418
2020-11-03,36330,430
2020-11-04,40558,394
2020-11-05,58046,367
2020-11-06,60486,405
2020-11-07,86852,306
2020-11-08,38619,271
2020-11-09,20155,551
2020-11-10,22180,472
2020-11-11,35879,329
2020-11-12,33172,418
2020-11-13,23794,467
2020-11-14,32095,359
2020-11-15,27228,302
2020-11-16,9406,508
2020-11-17,45522,437
2020-11-18,28383,427
2020-11-19,21150,436
2020-11-20,22882,386
2020-11-21,17881,276
2020-11-22,13157,215
2020-11-23,4452,501
2020-11-24,9155,457
2020-11-25,16282,384
2020-11-26,13563,340
2020-11-27,12459,396
2020-11-28,12580,213
2020-11-29,9784,198
2020-11-30,4005,408
2020-12-01,8083,365
2020-12-02,14064,312
2020-12-03,12696,326
2020-12-04,11221,284
2020-12-05,12923,216
2020-12-06,11022,175
2020-12-07,3411,366
2020-12-08,13713,380
2020-12-09,14595,296
2020-12-10,13750,297
2020-12-11,13406,306
2020-12-12,13947,199
2020-12-13,11533,150
2020-12-14,3063,372
2020-12-15,11532,314
2020-12-16,17615,292
2020-12-17,18254,261
2020-12-18,15674,264
2020-12-19,17565,190
2020-12-20,12799,131
2020-12-21,5797,354
2020-12-22,11795,386
2020-12-23,14929,278
2020-12-24,21634,292
2020-12-25,20262,159
2020-12-26,3093,146
2020-12-27,8822,175
2020-12-28,2960,364
2020-12-29,11395,388
2020-12-30,26457,304
2020-12-31,19927,252
2021-01-01,19348,133
2021-01-02,3466,157
2021-01-03,12489,116
2021-01-04,4022,380
2021-01-05,20489,346
2021-01-06,25379,291
2021-01-07,21703,277
2021-01-08,19814,281
2021-01-09,20177,171
2021-01-10,15944,151
2021-01-11,3581,310
2021-01-12,19753,362
2021-01-13,23852,232
2021-01-14,21228,283
2021-01-15,21271,288
2021-01-16,21406,196
2021-01-17,16642,141
2021-01-18,3736,404
2021-01-19,23608,373
2021-01-20,26784,316
2021-01-21,22848,358
2021-01-22,23292,323
2021-01-23,23924,231
2021-01-24,18436,172
2021-01-25,4240,449
2021-01-26,22086,352
2021-01-27,26916,351
2021-01-28,23770,348
2021-01-29,22858,356
2021-01-30,24392,242
2021-01-31,19235,195
2021-02-01,4347,456
2021-02-02,23337,404
2021-02-03,26362,358
2021-02-04,23448,360
2021-02-05,22139,296
2021-02-06,20586,191
2021-02-07,19715,171
2021-02-08,4317,460
2021-02-09,18870,439
2021-02-10,25387,297
2021-02-11,21063,371
2021-02-12,20701,320
2021-02-13,21231,199
2021-02-14,16546,167
2021-02-15,4376,413
2021-02-16,19590,352
2021-02-17,25018,311
2021-02-18,22501,272
2021-02-19,24116,328
2021-02-20,22371,183
2021-02-21,22046,160
2021-02-22,4646,334
2021-02-23,20064,314
2021-02-24,31519,278
2021-02-25,25403,261
2021-02-26,25207,286
2021-02-27,23996,186
2021-02-28,19952,122
2021-03-01,4703,379
2021-03-02,22857,301
2021-03-03,26788,326
2021-03-04,25279,295
2021-03-05,23507,239
2021-03-06,23306,173
2021-03-07,21825,130
2021-03-08,5327,360
2021-03-09,23302,299
2021-03-10,30303,266
2021-03-11,27166,266
2021-03-12,25229,228
2021-03-13,29759,174
2021-03-14,26343,140
2021-03-15,6471,333
2021-03-16,29975,320
2021-03-17,38501,246
2021-03-18,34998,273
2021-03-19,35088,297
2021-03-20,35327,185
2021-03-21,30581,138
2021-03-22,15792,344
2021-03-23,14678,292
2021-03-24,65373,248
2021-03-25,45641,228
2021-03-26,41869,304
2021-03-27,42619,194
2021-03-28,37014,131
2021-03-29,9094,362
2021-03-30,30702,337
2021-03-31,59038,304
2021-04-01,50659,313
2021-04-02,46677,301
2021-04-03,13917,187
2021-04-04,66794,185
2021-04-05,10793,197
2021-04-06,8045,409
2021-04-07,12951,433
2021-04-08,84999,345
2021-04-09,41243,301
2021-04-10,43284,210
2021-04-11,34895,178
2021-04-12,8536,385
2021-04-13,39113,324
2021-04-14,43505,297
2021-04-15,38045,300
