date,daily_case_count,daily_death_count
2020-11-24,19449,495
2020-11-25,22083,573
2020-11-26,22777,639
2020-11-27,20156,618
2020-11-28,14938,400
2020-11-29,8795,321
2020-11-30,13327,528
2020-12-01,19248,647
2020-12-02,23206,717
2020-12-03,24457,827
2020-12-04,22291,798
2020-12-05,15717,501
2020-12-06,10259,347
2020-12-07,16466,671
2020-12-08,22836,843
2020-12-09,27687,826
2020-12-10,29070,1046
2020-12-11,27299,954
2020-12-12,20643,756
2020-12-13,12509,506
2020-12-14,19086,808
2020-12-15,26930,989
2020-12-16,31373,1039
2020-12-17,32053,1127
2020-12-18,29783,1016
2020-12-19,21753,754
2020-12-20,13947,535
2020-12-21,20370,893
2020-12-22,29012,1168
2020-12-23,34011,1214
2020-12-24,21186,701
2020-12-25,13213,505
2020-12-26,11577,567
2020-12-27,9834,513
2020-12-28,15745,863
2020-12-29,27570,1217
2020-12-30,31102,1249
2020-12-31,19653,758
2021-01-01,10277,402
2021-01-02,10017,571
2021-01-03,8830,480
2021-01-04,14226,750
2021-01-05,27405,1007
2021-01-06,27989,896
2021-01-07,26156,998
2021-01-08,24546,898
2021-01-09,16671,582
2021-01-10,8497,403
2021-01-11,13525,566
2021-01-12,22600,866
2021-01-13,24101,945
2021-01-14,20437,923
2021-01-15,18312,786
2021-01-16,13407,525
2021-01-17,6609,312
2021-01-18,9159,520
2021-01-19,18442,745
2021-01-20,19514,751
2021-01-21,16824,679
2021-01-22,15036,606
2021-01-23,11580,421
2021-01-24,5017,202
2021-01-25,6755,411
2021-01-26,15499,562
2021-01-27,15834,606
2021-01-28,13388,467
2021-01-29,12581,455
2021-01-30,9968,294
2021-01-31,4218,182
2021-02-01,5873,296
2021-02-02,12331,381
2021-02-03,13435,420
2021-02-04,11526,426
2021-02-05,10021,290
2021-02-06,8389,227
2021-02-07,3093,95
2021-02-08,4203,235
2021-02-09,9096,287
2021-02-10,10275,292
2021-02-11,9363,292
2021-02-12,8532,239
2021-02-13,5620,153
2021-02-14,3751,103
2021-02-15,4409,188
2021-02-16,9260,273
2021-02-17,10001,260
2021-02-18,9252,224
2021-02-19,8735,207
2021-02-20,7790,145
2021-02-21,3045,94
2021-02-22,4404,167
2021-02-23,10216,202
2021-02-24,11313,217
2021-02-25,9939,192
2021-02-26,9454,169
2021-02-27,7668,121
2021-02-28,3464,63
2021-03-01,4699,146
2021-03-02,10981,176
2021-03-03,11313,152
2021-03-04,10144,146
2021-03-05,9684,131
2021-03-06,8310,116
2021-03-07,3372,74
2021-03-08,4847,122
2021-03-09,11522,157
2021-03-10,14024,184
2021-03-11,13151,177
2021-03-12,12545,158
2021-03-13,10495,107
2021-03-14,4871,69
2021-03-15,6825,129
2021-03-16,15821,207
2021-03-17,18416,184
2021-03-18,16777,204
2021-03-19,15722,161
2021-03-20,13238,117
2021-03-21,5984,95
2021-03-22,8943,143
2021-03-23,19540,218
2021-03-24,22698,210
2021-03-25,21970,201
2021-03-26,20054,212
2021-03-27,15771,170
2021-03-28,7624,90
2021-03-29,11034,168
2021-03-30,20421,219
2021-03-31,24078,222
2021-04-01,21471,185
2021-04-02,15544,145
2021-04-03,10668,123
2021-04-04,7205,83
2021-04-05,7081,120
2021-04-06,11540,169
2021-04-07,23784,165
2021-04-08,25820,157
2021-04-09,23344,118
2021-04-10,18106,117
2021-04-11,8882,60
2021-04-12,12172,106
2021-04-13,26831,126
2021-04-14,28684,114
2021-04-15,25156,91
