date,daily_case_count,daily_death_count
2020-03-18,3609,63
2020-03-19,4057,64
2020-03-20,4050,95
2020-03-21,3358,95
2020-03-22,2264,78
2020-03-23,3729,131
2020-03-24,4881,168
2020-03-25,5680,217
2020-03-26,5904,265
2020-03-27,5978,262
2020-03-28,4721,248
2020-03-29,3077,166
2020-03-30,4115,266
2020-03-31,6060,378
2020-04-01,6254,374
2020-04-02,6550,415
2020-04-03,6181,393
2020-04-04,4344,244
2020-04-05,2547,183
2020-04-06,3665,293
2020-04-07,5197,340
2020-04-08,5279,341
2020-04-09,4908,326
2020-04-10,3358,208
2020-04-11,2887,201
2020-04-12,1864,167
2020-04-13,1599,163
2020-04-14,2466,219
2020-04-15,3325,229
2020-04-16,3417,190
2020-04-17,3050,175
2020-04-18,2108,122
2020-04-19,1377,119
2020-04-20,1720,149
2020-04-21,2183,136
2020-04-22,2489,127
2020-04-23,2089,117
2020-04-24,1904,84
2020-04-25,1273,80
2020-04-26,703,30
2020-04-27,1115,75
2020-04-28,1470,82
2020-04-29,1432,59
2020-04-30,1459,71
2020-05-01,918,48
2020-05-02,620,35
2020-05-03,424,16
2020-05-04,728,41
2020-05-05,1092,45
2020-05-06,1222,40
2020-05-07,1197,49
2020-05-08,979,45
2020-05-09,679,23
2020-05-10,341,14
2020-05-11,688,25
2020-05-12,853,32
2020-05-13,912,27
2020-05-14,807,20
2020-05-15,727,32
2020-05-16,458,20
2020-05-17,316,8
2020-05-18,540,23
2020-05-19,731,27
2020-05-20,830,24
2020-05-21,417,7
2020-05-22,528,16
2020-05-23,338,11
2020-05-24,224,5
2020-05-25,412,13
2020-05-26,617,15
2020-05-27,648,12
2020-05-28,527,8
2020-05-29,448,8
2020-05-30,374,4
2020-05-31,179,3
2020-06-01,137,5
2020-06-02,304,8
2020-06-03,496,11
2020-06-04,528,7
2020-06-05,438,5
2020-06-06,285,5
2020-06-07,164,4
2020-06-08,297,3
2020-06-09,428,1
2020-06-10,518,10
2020-06-11,278,1
2020-06-12,350,11
2020-06-13,299,1
2020-06-14,172,6
2020-06-15,259,4
2020-06-16,541,11
2020-06-17,981,7
2020-06-18,634,3
2020-06-19,932,9
2020-06-20,524,4
2020-06-21,255,3
2020-06-22,483,1
2020-06-23,549,7
2020-06-24,504,2
2020-06-25,571,5
2020-06-26,575,6
2020-06-27,329,2
2020-06-28,199,0
2020-06-29,415,4
2020-06-30,459,1
2020-07-01,484,5
2020-07-02,472,4
2020-07-03,426,6
2020-07-04,292,2
2020-07-05,142,4
2020-07-06,320,6
2020-07-07,391,4
2020-07-08,453,6
2020-07-09,426,5
2020-07-10,427,3
2020-07-11,278,0
2020-07-12,131,1
2020-07-13,324,5
2020-07-14,462,2
2020-07-15,537,6
2020-07-16,556,7
2020-07-17,521,6
2020-07-18,428,0
2020-07-19,187,4
2020-07-20,456,4
2020-07-21,520,4
2020-07-22,698,9
2020-07-23,696,3
2020-07-24,805,10
2020-07-25,543,3
2020-07-26,211,0
2020-07-27,527,7
2020-07-28,757,4
2020-07-29,905,4
2020-07-30,851,5
2020-07-31,921,10
2020-08-01,561,1
2020-08-02,301,1
2020-08-03,797,8
2020-08-04,946,5
2020-08-05,1113,3
2020-08-06,1164,6
2020-08-07,1005,5
2020-08-08,711,2
2020-08-09,319,2
2020-08-10,1104,2
2020-08-11,1194,2
2020-08-12,1540,10
2020-08-13,1489,2
2020-08-14,1376,5
2020-08-15,754,4
2020-08-16,492,5
2020-08-17,1549,8
2020-08-18,1536,9
2020-08-19,1752,1
2020-08-20,1621,7
2020-08-21,1653,3
2020-08-22,914,2
2020-08-23,565,0
2020-08-24,1432,5
2020-08-25,1478,2
2020-08-26,1613,2
2020-08-27,1541,1
2020-08-28,1388,3
2020-08-29,831,2
2020-08-30,537,3
2020-08-31,1184,4
2020-09-01,1318,3
2020-09-02,1416,3
2020-09-03,1519,7
2020-09-04,1492,7
2020-09-05,1106,8
2020-09-06,578,4
2020-09-07,1411,5
2020-09-08,1380,18
2020-09-09,1752,9
2020-09-10,1593,6
2020-09-11,1651,12
2020-09-12,1224,8
2020-09-13,759,8
2020-09-14,1481,5
2020-09-15,2006,15
2020-09-16,2198,15
2020-09-17,2354,8
2020-09-18,2172,14
2020-09-19,1396,12
2020-09-20,689,10
2020-09-21,1655,18
2020-09-22,1813,15
2020-09-23,2207,11
2020-09-24,2396,17
2020-09-25,2329,14
2020-09-26,1788,25
2020-09-27,875,7
2020-09-28,1821,19
2020-09-29,2169,15
2020-09-30,2733,16
2020-10-01,2925,26
2020-10-02,2918,24
2020-10-03,2209,12
2020-10-04,1153,9
2020-10-05,2410,35
2020-10-06,3584,27
2020-10-07,4490,34
2020-10-08,4676,40
2020-10-09,5056,41
2020-10-10,3635,38
2020-10-11,2276,24
2020-10-12,4190,61
2020-10-13,5373,55
2020-10-14,7250,62
2020-10-15,7922,81
2020-10-16,7969,88
2020-10-17,5699,60
2020-10-18,3683,53
2020-10-19,6472,86
2020-10-20,9441,129
2020-10-21,12400,141
2020-10-22,13895,194
2020-10-23,14040,196
2020-10-24,11102,121
2020-10-25,7466,124
2020-10-26,12026,239
2020-10-27,15964,238
2020-10-28,19257,238
2020-10-29,19856,265
2020-10-30,19419,247
2020-10-31,14020,193
2020-11-01,10536,168
2020-11-02,15250,276
2020-11-03,19346,325
2020-11-04,21226,307
2020-11-05,22277,332
2020-11-06,21587,241
2020-11-07,15937,215
2020-11-08,10174,160
2020-11-09,15966,309
2020-11-10,19622,334
2020-11-11,22703,412
2020-11-12,23512,415
2020-11-13,21368,406
2020-11-14,15804,370
2020-11-15,8871,220
2020-11-16,14707,446
2020-11-17,20355,500
2020-11-18,23707,520
2020-11-19,23737,550
2020-11-20,22309,518
2020-11-21,14790,337
2020-11-22,8849,278
2020-11-23,15096,458
